일자,언론사,제목,중요키워드
20170601,중부매일,택시표시등에 디지털광고,"택시표시등,시범사업,50여,관계자,디지털_매체,디지털_매체_운영,행정자치부,택시표시등_광고물,시범_운영,택시표시등_광고물_표시방법,디지털옥외광고_산업,산업혁명,택시_200대,연평균,4차,일자리,옥외광고_산업,디지털광고,50여_개_일자리_창출,택시표시등_디자인심의,광고물,표시방법,4차_산업혁명,일자리_창출,일반_시민,4차_산업혁명_시대,택시업계_관계자,연구개발_인프라,교통안전,대전지역,안전도,2018년_6월말,안전도검사,20억,경우_연평균_20억,의견수렴,대전광역시,표시등,한국옥외,시민들,사업규모,그간,11일_교통안전공단,확대_여부,28일_한국옥외광고센터,200대,파급_효과,소프트웨어_분야,변경_고시,표시등_양면"
20170601,부산일보,"시, 부산 소상공인에 6000억 '통 큰 지원'","소상공인,소상공인_보호,소상공인_업종,소상공인_재기,소상공인_재기_대책,골목상권,부산_소상공인,골목상권_보호,종합_지원,업체_5년,골목상권_스마일,보증_지원,골목상권_스마일_프로젝트,부산,31일_소상공인,생존율_35%,5000억_원_보증_지원,생존율,31일_소상공인_종합_지원대책,부산시,사이_골목상권,소상공인_정책,소상공인_공제,종합_지원책_스마일,장려금,5000억,부산_지역,노란우산공제_가입_장려금,종합_지원책,종합_지원대책,생존율_35%_목표,노란우산공제_가입,대기업,중소상인_보호,온라인_마케팅,바터,온라인,부산신용보증재단,예산_1000억_원_집행,연간_1000억_원_규모,4개_전략,산재보험_가입_장려금,온라인_마케팅_전문가_양성,4개,노란우산공제,서병수,소공인특화센터_집적_지구_유치,8곳,부산_지역_사업체,1일_해운대구"
20170601,매일경제,"센트롤, 대림대와 산학협력 산업용 금속 3D프린팅 교육 플랫폼 구축","센트롤,센트롤_3d,3d,금속_3d,금속_3d_프린터,3d_프린팅,기업_센트롤,센트롤_3d_sm350,3d_프린팅_산학협력,금속_3d_프린터_sm350,3d_프린터,프린팅_교육,센트롤_sm350,산학협력,산업용_금속,3d_프린팅_산업_핵심인력,최성환_센트롤,산학협력_산업용,프린터_sm350,프린팅_전문인력,최성환_센트롤_대표,전문_교육과정,sm350,세계_최대,주물사_3d,교육과정,산업혁명,대림대학교,4차,교육_플랫폼,맞춤형_인재_양성,전문인력,금속_파우더,적극_활용,센트롤_장비,4차_산업혁명,최대_속도,산업_핵심인력,전문_교육과정_개설,세계_최대_수준,1개,최성환,맞춤형_인재,지난달_22일_대림대학교,프린터_제조,주물사,신제품,국내최초_산업용,플랫폼_구축,적극_협업"
20170601,한국경제,"100일 플랜' 들어간 일자리委 ""비정규직 많은 대기업에 부담금 검토""","일자리,비정규직,부위원장,일자리_정책,일자리_창출,일자리_로드맵,공공부문_비정규직,공공부문,로드맵,일자리위원회,산업혁명,대기업,5년_로드맵,1만,정규직_전환,일자리위원회_이용섭_부위원장,비정규직_사용사,일자리_민원,자영업자_지원,대통령_직속_일자리위원회,실태조사,대통령_직속,자영업자_지원_방안,부담금_검토,기준_100일,정규직,서울,공공부문_비정규직_대책_tf,일자리위원회_이용섭,100일_플랜,4차_산업혁명,민간기업,기초질서_강화,현장_실태조사,세제개,자영업자,고용영향평가_강화,최우선순위,이용섭,대통령_취임,부담금,용부담금,사용사,중장기,공공부문_81만,4차,혁신_세제개,재설계,적용기한_연장,자리_창출"
20170601,대구일보,대구학부모총연합회 연수회…자기주도학습 특강,"학부모,연수회,대구학부모총연합회_연수회,대구학부모총연합회,김종오,자기주도학습,최창렬,학부모들,롯데백화점,대구점,산업혁명,황은주,학부모연수회,지난달_29일_롯데백화점_대구점,이날_연수회,4차_산업혁명_입시,롯데백화점_대구점,황은주_회장,김종오_광덕자기주도학습연구,지난달_29일,최창렬_교육입시,교육정보_제공,김종오_광덕자기주도학습연구_소장,최창렬_교육입시_연구소장,달서구청,연합회,식전행사,가운데_제2회_학부모연수회,4차_산업혁명,수학성적,2015년_설립,자녀교육,연구소장,광덕자기,대구,학교정보,4차,맘연구소장,조용하,자기주도,5월_달서구청,재능기부,제1회_대구학부모연수,입시특강,다드림,조용하_맘연구소장,특강,연수,교육,행사"
20170601,파이낸셜뉴스,"금감원, 조선해운업 활성화 위한 '2017 부산 해양금융 컨벤션' 개최","조선,금융_지원,조선_해운업,해양산업,전문가,해양산업_침체,부산,선박_공급과잉,해운,선박_신조,해상_환경규제,해양산업_회복,환경규제,해상_환경규제_강화,금융_전문가들,선박_신조_발주,조선_해운업_경쟁력_강화,해양금융_전문가,4차,경기_침체,진웅섭,해운사,공급과잉,경쟁력,개회사,경쟁력_강화,선박_대량발주,선박_공급과잉_문제,해양금융_컨벤션,1일_부산,신해양,행사_개회사,해양산업_컨설팅업체,커시,스튜어트,저비용,스트라켄,레인하드,조선해운업,금융감독원,4차_산업혁명,루켄,활성화,해운사_머스크,산업혁명,공동_개최,선박_대량발주_관행,스튜어트_스트라켄,4차_산업혁명_대비_사례,1일_부산_웨스틴조선호텔"
20170601,대전일보,"충북도, 2017년 청년창업 베이스캠프 지원사업 실시","베이스캠프,충북,우수아이템_지원,우수아이템_지원_분야,지원사업,청년창업,베이스캠프_지원사업,청년창업_베이스캠프,2017년_청년창업_베이스캠프_지원사업,농식품부,2017년_청년창업,제1기_청년창업_베이스캠프,4대,지원_대상,5건,우수아이템,전문기관,제1기_청년창업,일대일,4대_미래유망산업_분야,4차,4억,충북도,소재_대학,소재_대학_재학생,4대_미래유망산업,신규창업_5건,청년창업가,4차_산업혁명,5억,산업혁명,재학생,충북산학융합본부,지적재산권,기후환경,대표기업,벤처기업_r&d지원_전문기관,충북테크노파크,청년지원,고령친화사업,청년창업가들,양경열,창업가,예비_청년창업가,매출_5억,창업아이템,지적재산권_출원,농식품부_r&d과제,창업전문기관,양경열_과장"
20170601,문화일보,“4차산업혁명 대응 여력 없는 中企… 고도화·서비스화 시급”,"중소기업,중소기업_대응,중소기업_지원,제조업,중소기업_생태계,제조업_혁신_전략,혁신_전략,지원_정책,제조업_혁신,산업_생태계_혁신_전략,개별_기업_지원,개별_중소기업,중소기업_4.0,대응_역량,개별_기업,산업_생태계,뉴패러다임_시대_대응,고도화_전략,생태계,기업_혁신역량,개별_기업_단순_지원,제조업_서비스화,4차,중소기업연구원,산업혁명,중소_제조업,4차_산업혁명_시대,뉴패러다임_시대,보고서,뉴패러다임,4차_산업혁명,4.0_정책,중소기업_지원_확대,단순_지원,고도화,정부_주도,세계_제조업,중소기업_생태계_전환,지능적_생태계_구축_작업,서비스화,플랫폼_인더스트리_4.0_정책,혁신역량,구축_작업,선제적_대응,세계_제조업_경쟁력_지수,1만,플랫폼_중심,만큼,중소기업_4.0_역량센터,미만_중소기업"
20170601,문화일보,"“4차산업委, 산업간 융합 막는 규제 철폐 챙겨야”","위원회,4차,위원회_조직,부처_이기주의,지원_조직,산업_간_융합,지원_역할,대통령_직속_4차,이기주의,통섭,전문가,창업국가_조성_방안,창업국가_조성,성격상_산업,산업_전반,민간_지원,이날_보고,정책_주도권,민간_주도,컨트롤타워_역할,스마트코리아,서울여대,2차,이종욱,조직_재편,전문가들,이종욱_서울여대_경제학과_교수,업무보고,컨트롤타워,조성방안,혁명위,정책_주도권_경쟁,이종욱_서울여대,문재인_대통령,산업간_융합,오늘_창업국가_조성방안,규제_철폐,대통령_직속,정책적_성과,합동_업무보고,협업체계_구축,경제학과_교수,대선_공약,전문가_제언,미래창조과학부,중기청,중소기업청,유명무실화,구체성,산업통상자원부"
20170601,문화일보,亞·太 건설업계 ‘4차 산업시대 생존 방안’ 논의,"이포카,아시아,아시아_지역,4차,건설업,해외_건설,서울,한국대회,건설산업,대회_주제,제43차_이포카_한국대회,시대_건설업_생존,이포카_회장,시대_건설업,31일_서울,건설사,서울파르나스호텔,제43차_이포카,건설산업_미래,관계자,건설산업_현황,대한건설협회,ifawpca_한국대회_개막,융복합,건설업계_4차,아시아_인프라_시장_전망,4차_산업혁명,미래건설산업,ifawpca_한국대회,민간_건설,건설사_관계자,시장_전망,대한건설협회_관계자,지역_유일한,국토교통부,삼성동,위원장,조정식,ifawpca,아시아_인프라,박찬식,한승헌,이포카_회장_겸_대한건설협회장,31일_총회,중앙대_박찬식_교수,연세대_한승헌_교수,중앙대,연세대,강호인_국토교통부,건설업계"
