일자,언론사,제목,중요키워드
20170701,서울경제,"[부동산시장 뒤집어보기]같은 전략, 다른 결과에 웃다가 운 경매 시장","대성프라퍼티,린나이빌딩,경매_시장,경매_입찰,아카시아호텔_경매,채권자,린나이빌딩_매각,100억,사드,서울,아카시아호텔,10월_아카시아호텔_경매_입찰,2위,호텔_시장,사드_사태,결국_손실,실제_대성프라퍼티,린나이빌딩_매각_과정,사드_사태_여파,2순위_채권자,하지만,하지만_당시_대성프라퍼티,서울_중구,서울_서대문구,호텔_시장_악화,10월_아카시아호텔,이창동,지지옥션,가격_가이드라인_제시,사태_여파,결국_245억,중국,관광객,지난달_29일_진행,중구,서대문구,서울_중구_을지로,서울_서대문구_동교동,이창동_지지옥션,2순위,낙찰자,중국_관광객_급감,마스터자동차관리,245억,중국_관광객,2위_업체,낙찰가,이창동_지지옥션_연구원,지난달_29일,고고도"
20170701,헤럴드경제,"트럼프 인도 부동산, 모디 총리 세제 개편에 타격","부동산,인도_부동산,트럼프_인도_부동산,트럼프_인도,현지_부동산,인도_현지,인도_부동산_가격,인도_총리,인도_현지_로다그룹,부동산_가격,인도_부동산_사업,현지_부동산_전문가,1억,부동산_분야,트럼프_대통령,나렌드라_모디_인도_총리,트럼프_타워,모디_총리_세제_개편,로다그룹,도널드_트럼프,세제_개편,부동산_사업,부동산_세제개편,모디_총리,분양가_1억,10월_인도,모디,분양가,분양가_1억_이상_낮춰,10월_인도_법인세율,10만_달러,10만_달러_이상,부동산_세제개혁,도널드_트럼프_미국_대통령,인도_전역,나렌드라,법인세율,나렌드라_모디,전문가,세제개편안,트럼프_타워_개발,도널드,부동산_세제개혁_가능성,밀란,비슈나브,가치세,2019년_완공,전국적_단일,위험요소_산재,170만_달러"
20170701,중도일보,"서산준법지원센터, 서산평생학습센터 시민로스쿨 실시","서산,시민로스쿨,박현배_소장,서산평생학습센터_시민로스쿨,서산평생학습센터,권준경,시민로스쿨_특강,권준경_공익법무관,공익법무관,서산평생학습센터_시민로스쿨_실시,서산지방검찰청_권준경_공익법무관,서산지방검찰청_권준경,박현배,법률_정보,4회기,4주,법무부,소장_박현배,지난달_9일,9월_8일,시민_로스쿨,강연_주제,보험사기,의료소송,부동산,생활법률,상속법,지역시민들,법률복지제도,법교육,준법지원센터,관찰소,기능중,교통사고,검찰청,법무부_서산준법지원센터,개인간_민사분쟁,로스쿨,서산준법지원센터,부동산_거래,서산보호관찰소,성인_법교육,사전_신청,3시_30분,진행,센터,법률,제공,시민,특강"
20170701,매일경제,"현대산업개발, 초역세권 아파트 ‘인덕 아이파크’ 견본주택에 실수요자 북적","노원구,아이파크,서울시_노원구,현대산업개발,월계역,서울시,1호,지하철_1호,인덕_아이파크,동부간선도로,1순위,모델하우스,사흘간,서울_노원구,초안산_근린공원,인덕,초역세권_아파트_인덕_아이파크,동부간선도로_진입,서울_노원구_월계동,강남구,월계동_지하철,이마트,당첨자,2순위,노원구_학군,근린공원,노원구_거주,창동점,중랑천,19~21일_사흘간,수변공원,아시아퍼시픽,지난달_30일_현대산업개발,4가구,초안산_근인공원,서울,월계동,7일_2순위,아시아퍼시픽_국제,월계역_3번_출구_인근,월계역_3번,월계역_역세권,중랑천_수변공원,지하철_7호,19~21일_사흘간_실시,초역세권_아파트,5일_1순위,7일_2순위_접수,전용_59~84,아시아퍼시픽_국제_외국인학교"
20170701,헤럴드경제,새로 생긴 길따라 아파트 단지 살펴볼까,"청량리,9월_개통,고속도로,서울,성남,구리,동해선,우이동,개통_예정,강릉,동해선_영덕_연장,교통망,평창동계올림픽,경전철,동해선_영덕,기존선,포항,영덕,2018년_평창동계올림픽,1곳,중앙선_개량_사업,광주,경기_광주,이천,부동산,6월_개통,중앙선_개량,용산,개통_수혜,포천,성남_중원구,30일_개통,장호원,이천_지역,광역_교통망,포항_이북_지역,정거장,6호,4호,신설_경전철,포항_이북,2012년_9월,2018년_평창동계올림픽_지원,2018년_평창동계올림픽_기간,기존선_고속화,구리시,지자체,부동산시장_최고,경기도,강북구_우이동"
20170701,YTN,'동방의 진주'는 옛말...부의 양극화 심화,"홍콩,중국,홍콩_경제,중국_경제,중국_반환,양극화,홍콩_경제_추이,양극화_심화,부동산,중국_반환_20주년_기획,gdp,gdp_규모,부동산_가격,138억_달러,베이징,최고급,진주,773억_달러,하지만,1인,2배,2만,매튜,상대적,완전고용_단계,홍콩_정무사장,20주년_기획,극빈자,극빈자들,쓰레기통,반중,뒷골목,세대들,노점상,상하이,승용차,중국인들,실업률,박희천,생활비,동방,둥젠화,중국인,773억,옛말,4만,경제력,1선,홍콩행정장관,반중_감정"
20170701,한국경제,"대우조선, 망갈리아조선소 네덜란드에 매각","대우조선,대우조선_보유,루마니아,조선소,1위,매각_협상,루마니아_정부,경영_정상화,서울,자구안,루마니아_망갈리아조선소,2조,다멘그룹,망갈리아조선소,대우조선_보유_지분_51%,자회사,네덜란드_1위,세계_1위,매각_작업,망갈리아조선소_네덜란드,조선,다멘,네덜란드,1개월,대우조,루마니아_콘스탄타항,현지_조선소,4조,니아_정부,정상화,자산_매각,유동성,니아_정부_승인,관계자,부동산,시장_가격,네덜란드_1위_기업,수주_잔량_세계_1위,회사_정상화,2015년_1조,회사_관계자,지분_51%,업계_관계자,대형_조선소,현지_조선소_운영_경험,6조,0여,서울_마곡지구_부동산,흑해,부근_흑해_연안"
20170701,YTN,대출규제 강화 직전 '막차 분양' 열기 후끈,"아파트_분양,서울,아파트_분양_시장,아파트_분양_물량,막차_분양,대출_규제,대출_규제_강화,6·19_대책,부동산_대책,6·19_부동산_대책,강진원,막차_분양_물량,부동산,대출_규제_적용,아파트_견본,아파트_견본_주택,6·19_부동산,부동산_추가_대책,가계부채_대책,주택_시장,여름_분양,서울_전역,분양권_전매,아파트_분양소장,입주자,대단지_아파트,아파트_견본주택,무이자,서울_강동구,서울_용산구,부동산_추가,7월_3일,가계부채_대책_발표,국토교통부,중도금_대출,여름_분양_비수,용산,천7,분양권_차익,대출_절벽,아파트_견본주택_방문객,입주자_모집,막판_청약_열기,ytn_강진원,직전_막차,초역세권_입지,최대_규모,국토교통부_장관_지난달_23일,총부채상환비율,입주자_모집_공고"
20170701,YTN,대출규제 강화 직전 '막차 분양' 열기 후끈,"아파트_분양,서울,아파트_분양_시장,아파트_분양_물량,막차_분양,대출_규제,대출_규제_강화,6·19_대책,부동산_대책,6·19_부동산_대책,강진원,막차_분양_물량,부동산,대출_규제_적용,아파트_견본,아파트_견본_주택,6·19_부동산,부동산_추가_대책,가계부채_대책,주택_시장,여름_분양,서울_전역,분양권_전매,아파트_분양소장,입주자,대단지_아파트,아파트_견본주택,무이자,서울_강동구,서울_용산구,부동산_추가,7월_3일,가계부채_대책_발표,국토교통부,중도금_대출,여름_분양_비수,용산,천7,분양권_차익,대출_절벽,아파트_견본주택_방문객,입주자_모집,막판_청약_열기,ytn_강진원,직전_막차,초역세권_입지,최대_규모,국토교통부_장관_지난달_23일,총부채상환비율,입주자_모집_공고"
20170701,한국경제,[주말 모델하우스] 95%가 중소형…실수요 주목 '고덕 센트럴 아이파크',"고덕,서울_분양,중소형,강동그린웨이,서울,아이파크,중소형_물량,고덕지구,당첨자,감성_led_조명,고덕_센트럴_아이파크,서울_강동구_고덕지구,서울_강동구,강동구,고덕_센트럴,역세권_단지,센트럴_아이파크,주목_고덕_센트럴_아이파크,상일동역,역세권,실수요,현대산업개발,중소형_평형_94%,에너지_절감,1순위,상일동역_역세권,서울_분양_시장,주목_고덕,번째_아이파크_아파트,숲세,중소형_평형,모델하우스,13일_당첨자,분양_일정,강동그린웨이란_강동구,만큼_분양,녹지_면적,에너지_절약,에너지_사용량,모델하우스_개관,에너지_절감_효과,게_분양_관계자,2순위,11·3_부동산_대책,상일동역_역세권_뿐,5만,강동그린웨이_숲세권,재건축,서울_지하철,형광등"
