주소,일자,언론사,제목,키워드
http://www.bigkinds.or.kr/news/newsDetailView.do?newsId=01100101.20130101100000067,20130101,경향신문,다양한 신작에 게이머들 신났다,"신작,게이머들,열풍,모바일,게임,온라인,게임,새해,반격,준비,아키에이지,새해,벽두,시작,장르,게임들,론칭,출격,준비,게임들,완성도,개성,콘텐츠,무장,게이머들,고조,상반기,오픈,기대작들,아키에이지,열혈강호2,완성,작품,온라인,게임,새해,벽두,전쟁,아키에이지,송재경표,대작,MMORPG,대규모,다중접속,역할,수행,게임,아키에이지,2일,세계,게이머,출격,6년,400억,개발비,180명,인력,투입,게임,120개,직업,2600여,몬스터,2700개,퀘스트,1만,의상,장비아이템,주총,불허,자랑,게임,마을,수동적,활용,마을,게임,경제,정치,활동,전쟁,자신,자유의지,선택,능동적,게임,MMORPG,패러다임,제시,열혈강호2,무협,게임,열혈,강호,오픈,열혈강호,글로벌,인기,게임,열혈,강호,후속작,전작,30년,이야기,유저들,향수,자극,그래픽,액션,무협,특유,신비,인간적,분위기,연출,콘텐츠,PvP,PvE,인기,AoS,즐거움,문파,혈전,동양,사고관,게임,동양,무협,신기원,전망,경공술,공중,공중,경공술,무협,게임,재미,선사,천룡기,미르,전설,창천온라인,노하우,솔루션,집대성,위메이드엔터테인먼트,대작,MMORPG,인물,구성,특징,색채,게임,표현,블록버스터,쾌감,신비감,선사,계획,협객,술사,검객,도사,4종,직업,기본,문파,세력,경쟁,무협스토리,타격감,무공,바탕,타격감,액션성,무한,대결,PVP,아이템,속성,캐릭터,오행시스템,스케일,자랑,연환무공,환상적,무림,세계,게이머들,초대,던전스트라이커,아이덴티티게임즈,NHN,한게임,서비스,액션RPG,전투,최적화,SD,캐릭터,마우스,가능,공격,자유,직업,특징,쿼터뷰,시점,핵앤,슬래시,방식,전투,채택,스피드,액션성,조작,게임,접근성,특징,액션,RPG,조작,방식,제한적,클래스,육성,플레이시간,장애,요인,제거,액션,RPG,재미,선사,1초,타격,최대,초고속,액션,직업,스킬,대로,조합,무한,전직,마계촌온라인,게임,아케이드,출시,시대,풍미,명작,오락실,게임,마계촌,온라인,버전,횡스크롤,방식,채용,액션,게임,시간차,이용한,필살기,공중,동작,액션,온라인,게임,콘솔,게임,인터페이스,지향,스테이지,좌우,난이도,악명,원작,공격,갑옷,파괴,사각,팬티,전투,원작,유머감각,친숙,코믹,호러,분위기,연출,유저들,이목,워페이스,콘솔,게임,크라이시스,시리즈,유명,개발사,크라이텍,FPS게임,번째,온라인,FPS,게임,넥슨,서비스,자체,엔진,자체,크라이엔진3,활용,완성도,그래픽,인공지능,AI,물리효과,특징,아군,도움,공격,아군,협동액션,전력질주,슬라이딩,특수액션,활용,전투,유저들,호응,4종,클래스,역할,효과적,수행,요구,RPG,일사불란,전술,연상,블레스,네오위즈게임즈,사운,프로젝트,투입,인력,개발비,수준,역대,최고,자체,개발력,지적,MMORPG,장르,히트작,지적,네오위즈게임즈,이미지,쇄신,지스타,완성,모습,공개,언리얼,엔진,바탕,추종,불허,최상,그래픽,혁신적,콘텐츠,게이머들,호평,NPC,몬스터,역할,퀘스트,자판기,고유,성격,동기,제작,전투,유기적,연결,몰입도,전망"
http://www.bigkinds.or.kr/news/newsDetailView.do?newsId=01400601.20160201200920447,20130102,충청일보,비전과 스마트 시대,"비전,스마트,시대,2010년,원년,시대,스마트,미디어,현실화,사용자,스마트폰,3200만,국민,6명,스마트폰,사용,스마트,시대,윤택,위험,거부,스마트폰,중독,사회문제,대두,교수,윌헴,호프먼,시카고대,스마트폰,중독성,담배,알코올,한국정보화진흥원,인터넷,중독,실태,조사,결과,49세,8.4%,스마트폰,이용자,8.4%,상태,스마트폰,중독,스마트폰,불안감,응답,34.2%,답변,30%,스마트,시대,공간,제약,실시간,정보,활용,가능,완전,개방,시대,정의,스마트,Smart,현명,의미,다기능,고기능,인공지능,제어능력,의미,스마트,의미,각자,취향,개인,무작정,자신,환경,개별화,개인,선택권,미래,경영학자,피터,드러커,역사학자,시대,중요,사건,지목,인터넷,전자상거래,생각,전례,변화,생활,조건,사람들,선택권,정보,지식,사회,스마트,시대,산업사회,선택,것들,강요,공존,가지,대안,선택,세상,대안,선택,세상,선택,기준,가치관,설정,중요,시점,시대,분들,평탄,정도,예측,생활,방향,목적,고민,속도,우선시,포장도로,세대,속도,방향,중시,비포장도로,스마트,시대,경쟁,패러다임,100m,달리기,혼자,미래,불확실성,방향,비전,설정,목적지,도착,계획,방향,계획,점검,확인,스마트,시대,탈선,위험,개인,동기,상실,위기,스마트,시대,개개인,운전자,경로,목적지,결정,출발,시대,경로,탐구,동기,경로,스마트,시대,개인,자율,선택,만큼,인재개발원장,전미영,2M,인재,원장"
http://www.bigkinds.or.kr/news/newsDetailView.do?newsId=02100701.20160116232234935,20130102,헤럴드경제,"스타2: 군단의 심장, 일반판 사전 판매 시작","스타2,군단,심장,일반판,사전,판매,시작,손오공,1월,4일,3월,8일,스타크래프트2,시리즈,번째,군단,심장,일반판,패키지,사전,판매,시작,일반판,패키지,인터넷,쇼핑몰,지마켓,사전,구매,가능,3월,오프라인,판매처,판매,시작,손오공,패키지,구입,유저,3월,패키지,스타크래프트2,군단,심장,군단,심장,일반판,패키지,권장소비자,3만,6천,제공,버전,디지털,다운로드,동일,가격,손오공,군단,심장,사전,구매,유저,대상,스타2,보틀,피규어,3종,1종,선착순,1만,증정,확장팩,전작,자유,날개,20개,캠페인들,소개,이야기,중심,칼날,여왕,사라,케리건,코프룰루,구역,맹스크,독재자,아크튜러스,복수,군단,군단,심장,유닛,멀티,플레이어,소개,향상,스타크래프트,경험,스타크래프트,기능들,제공,그룹,클랜,제공,멀티플레이어,리플레이,게임,재개,업데이트,사용자,인터페이스,접속,지역,구애,게임,글로벌,플레이,박진감,전투,물리,프로필,개인,온라인,특화,레벨,신규,플레이어,캠페인,멀티플레이어,전환,훈련,모드,인공지능,대전,순위,반영,대전,검색,친선,플레이,패키지,이용,버전,청소년,이용,불가,버전,출시"
http://www.bigkinds.or.kr/news/newsDetailView.do?newsId=07100501.20130102062514015,20130102,전자신문,[유망기술]신산업/지식서비스/제조지원 및 연구개발,"신산업,지식서비스,제조지원,연구개발,지식,서비스,산업,제품,중심,산업시대,고도,정보,지식,활용,가치,창출,복합,시대,대표,핵심,산업,산업,경계,제조업,포함,산업,분야,전후방,융합,진화,지식,서비스,분야,연구개발,국가별,성격,구조화,형식화,무형,동시,변동,소멸성,특징,기업의사결정핵심서비스,사용자중심융합서비스,인적,자원역량개발서비스,제조지원,연구개발,유통물류서비스,서비스공통기반기술,분야,시장,급성장,관심,분야,제조지원,연구개발,세계,제조,지원,시장,서비스,달러,달러,달러,예상,제조,시장,서비스,달러,달러,달러,증가,전망,북미,유럽,일본,서비스,영역,사업,확대,개편,비즈니스,모델,가치사슬상,확대,서비스,영역,사업,모델,추진,제조업,서비스화,초기,단계,기업,취향,제조,활동,지원,수요,기업,맞춤,인프라,서비스,대응,제조서비스,시장,생산,데이터,생산,데이터,마이닝,모바일,서비스,주목,전망,연구개발,R&D,서비스,지식처리,시맨틱,관심,고조,구체적,적용사례,모바일,포털,중심,지식분류정보,제공,시맨틱,시맨틱,사례,응용분야,인공지능기술,온톨로지,연장,형태,추론기술,초점,서비스,산업,프레임워크,적용,가능,서비스지향아키텍처,SOA,관심,고조,대형,통합,SI,업체,중심,투자,자체,표준,부족,상황,산업,공통,인프라,공용,정보,확충,연구개발서비스산업,발전,정책,추진,산업,수요,학술,특허정보,동향,외국,산업,파악,데이터베이스,DB,구축,활용,지원체계,컴퓨터,모델링,시뮬레이션,핵심,시뮬레이션,핵심,CAD,R&D지원용,지원,언어,음성,영상,감성등,공용,DB,추진,정부,정책적,연구개발서비스,포함,국가,과학,종합,정보,서비스,NTIS,구축,연구인력,장비,기자재,성과,국가R&D사업정보,제공,홍기범,kbhong,etnews.com주요국,지식,서비스,수준,비교,분야,수준"
http://www.bigkinds.or.kr/news/newsDetailView.do?newsId=02100701.20160116232323983,20130102,헤럴드경제,[게임콕콕(피파온라인3)]스포츠 온라인을 넘어 국민게임으로 '손색없다',"스포츠,온라인,국민게임,오래간만,트리플A,발행,창간,특집호,10주,살인적,한파,대통령,선거,크리스마스,솔로대첩,2013년,트리플A,게임,최고,콘텐츠,독자,전달,약속,금주,수다,주인공,론칭,동시,선풍적,인기몰이,피파온라인3,전작,검증,인기,세련,그래픽,게임성,서비스,성공,예약,평가,론칭,서버문제,유저들,불편,대처,동시접속자,돌파,승승장구,트리플A,위닝일레븐,마니아,피파,시리즈,초보,게임,플레이,적응,선수들,움직임,탄성,진짜,축구,슬로건,피파온라인3,EA,넥슨,공동,사실,이슈,시리즈,피파,사커,정통,계승,피파온라인3,세계,개국,리그,15,000명,실제,선수,진짜,축구,현실감,제공,시리즈,피파,온라인,PC,온라인,축구,게임,유일,라이선스,피파,공식,현실,선수,리그,데이터,제공,전작,국가,리그,지원,피파온라인3,러시아,리그,사우디아라비아,리그,2곳,추가,국가,리그,지원,국가대표팀,볼리비아,인디아,추가,유저들,선택폭,평가,획기적,업그레이드,피파,엔진,사용,전략,최신,인공,지능,체험,PC,콘솔,발매,피파13,실제,그래픽,애니메이션,피파11,콘솔,PC,버전,엔진,축구,게임,시장,기틀,평가,정도,평가,엔진,게이머들,드리블,모션,체감,버튼,패스,슈팅,원버튼,채택,캐릭터,성격,강화,드리블,특기,선수,헤딩,특기,선수,장거리,특기,선수,캐릭터,특기,구별,인공지능,AㆍI,플레이어,개성적,전술적,조합,고민,방위,가능,몸싸움,현실적,터치,패스,유저들,즐거움,선사,용량,4.2기가,피파온라인3,최신,사양,PC,권장,생성,메뉴,설명,화면,메인,메뉴,선수들,자유,콘트롤,접속,법칙,5점,만점,5점,탄성,그래픽,피파온라인3,시작,유저들,탄성,축구장,자신,스트라이커,골키퍼,대치,화면,메인,메뉴,스트라이커,콘트롤,게임,시작,긴장감,피파온라인3,조작감,피파온라인3,별도,튜토리얼,지원,생성,메뉴,설명,숙지,관리,피파온라인3,실제,축구,게임,축구게임,유저,어려움,플레이,가능,버튼,6개,숙지,연습,고수,반열,이벤트,4명,선수,선택,기회,활용,전력,향상,도움,실사풍,그래픽,유저들,UㆍI,유저,편의,5점,만점,4점,직관적,인터페이스,현대,스포츠,축구,개인,역량,이외,전략,승패,좌우,피파온라인3,개인플레이,전술,플레이,가능,메뉴,관리,선수들,포지션,자신,배치,포메이션,직관적,변형,가능,선수,위치,능력치,신경,모습,축구,전술,유저들,자신,선수,위치,드래그,포지션,설정,리그,모드,유저들,대전,리그경기,게임,플레이,선수,레벨업,초보자들,게임,진입,이외,친구,끼리,친선,경기,게임,커뮤니티,활성,기능들,추가,계획,포지션,직관적,인터페이스,편리,제공,타격감,흥미,자극,5점,만점,5점,창조적,플레이,이야기,트리플A,피파,시리즈,경험,위닝일레븐,골수팬,조작,축구,게임,정도,자신,경기,위닝일레븐,느낌,정밀,콘트롤,느낌,나머지,위닝일레븐,물리엔진,위닝일레븐,선수들,몸싸움,드리블,실제,경기,상황,게임,대처,모습,유저,콘트롤,여부,플레이,가능,리턴패스,슈팅,자신,창조,플레이,키보드,게임,진행,불편,조이스틱,지원,플레이,유저,사용,판단,공간,패스,슈팅,손맛,선사,종합,점수,5점,만점,4.5점,무결점,스포츠,온라인,게임,바이블,게임,플레이,오래간만,최고,몰입감,결점,정도,완벽,준비,모습,게임성,합격점,네트워크,초기,서버,불안,극복,판단,축구,이외,온라인게임,실사,스포츠,온라인,게임,출시,사실적,유저,사실,플레이,창조,피파온라인3,해결,생각,축구,감동,표현,피파온라인3,돌풍"
http://www.bigkinds.or.kr/news/newsDetailView.do?newsId=02100311.20160317104752429,20130102,서울경제,'메뚜기 떼' 기술로 신기한 자동차 만든다,"메뚜기,자동차,메뚜기,자동차,리스타트,코리아,리스타트,경제,2부,성장,인프라,구축,1등,바통,주자,키워야,민병권기자,의존,전통,주력산업,우주항공,대내외,환경,변화,우주,항공,바이오,신소재,유망산업,중기,벤처,선별,지원금,확충,시급,한국,산업,미국발,금융위기,승승장구,반도체,한국산,D램,디스,플레이,제품,세계,시장,점유,50%,중반,중반,육박,기간,휴대폰,초반,초반,TV,초반,40%선,점유율,기록,하지만,이면,한국,산업,업종,제품,바통,주자,약점,노출,산업연구원,과거,자료,과거,반도체,자동차,조선,철강,우리나라,주력산업,수출,차지,비중,70.3%,2015년,74.0%,전망,대내외,경제,위기,반영,전통,주력산업,한국,경제구조,단기간,전문가,공통,시각,가뭄,신성장,품종,가뭄,한국,산업,구조,산업환경,산업,환경,급변,국제시장,한국,주력산업,뒷받침,동북아,3강,협력,분업,구도,중ㆍ일,가격,비교,제품,중심,삼각무역,동반성장,구조,인구노령화,인력수급,미스매칭,중소,중견,기업,노동자,생산가능인구,규모,2010년,수준,80.2,경제,성장,시동,미래,유망산업,선별,산업,혁신,중소,벤처기업,집중,육성,정부,기관들,대한민국,미래,유망,산업,공통분모,로봇,의료,바이오,장기,신약,항공,우주,정보통신기술,ICT,환경기술,건설,차세대,에너지,소재,나노,수송,탐사,고부가식품,콘텐츠,산업,첨단,도시,분야,분야,우리나라,경쟁력,선진국,절반,수준,수석연구원,배영일,삼성경제연구소,수석,연구원,미래,유망,분야,한국,선진국,대비,경쟁력,55%,수준,친환경,에너지,ICT,격차,중소,벤처기업들,수준,세계,정상,유도,급선무,중소기업청,중소제조업체,기술능력,수준,세계,최고,74.8%,2011년,기준,중소기업청,중소제조업체,조사,결과,중소,제조,업체,최대,장애,요인,자금부족,응답률,30.0%,인력,확보,곤란,26.1%,정부,중소기업들,지원책,활용,중소제조업체,5.1%,2011년,기준,하지만,자금,지원,규모,중소,벤처기업,자금,해갈,책정,예산,적기,적소,전달,정비,중소기업중앙회,관계자,정부,부처,산하,기관,성격,사업,중소기업,지원,중복예산,총액,산업현장,지원,분야,기업,집중적,수혜,소외,찬바람,지적,사업,중소기업,지원,기획,심사,확정,예산,집행,총괄,창구,일원화,효율성,재정전문가들,중소기업들,구인난,해소,지식경제부,중소기업,산업,인력,부족,2010년,기준,근로자,사업장,9.88%,사업장,근로자,6.04%,중소기업,인력난,청년들,중소기업,기피,현상,해소,근로자,임금,중소기업,근로자,평균,260만,대기업,각종,복지,혜택,감안,실질,소득,격차,중소기업,비정규직,고용,안정,기준,대규모,사업체,정규직,평균,근속,기간,12.4년,소규모,사업체,비정규직,근속,평균,청년층,중소기업,기피,현상,해소,향상,고용,안정,복지,여건,초점,정책,지원,정규직,비정규직,전환,중소기업,재정,세제,인센티브,확대,방안,전망,독일,리스터연금제도,중소기업,근로자,급여,수준,일정,비율,공적,ㆍ사적,연금,보험료,재정,매칭,펀드,방식,지원,방안,소득,안정,방안,기초과학,강국,도약,R&D인재,1만,육성,유럽,유명,자동차,제조사,메뚜기,사람,인공지능,운전,자동차,아프리카,메뚜기,마리,군집,비행,개체,거리,충돌,대오,유지,수천,메뚜기,군집,비행,메커니즘,인공지능,자동차,접목,교통,밀집,구간,충돌사고,자동주행,자동차,곤충학,과거,상업화,상관,융합,영감,미래,시대,기초과학,바탕,가능,생물학,물리학,화학,수학,분야,기초,축적,광범위,연구실적,기술조합,첨단,응용,상품,연결,연구개발,R&D,코디네이터,육성,우리나라,반세기,세계,산업,강국,기초,과학,분야,바탕,우리나라,학생,국제,수학ㆍ,물리,화학,생물,경시대회,1위,성과,분야,세계적,한국인,석학,자녀,수학자,기초,과학자,십상,부모,반대,인재,기초연구,미흡,산업계,창의,혁신,선진기업,오명,노동,인구,과학,분야,박사,인구,2008년,기준,계산,우리나라,3.5명,경제,협력,기구,회원국,하위권,스위스,22.8명,독일,12.0명,스웨덴,미국,8.6명,절반,수준,삼성경제연구소,기준,10년,R&D,분야,9만,핵심인재,부족,예상,1만,명가량,박사급,인재,추가,공급,과학선진국,발돋움,10만,R&D,인재,교육시스템,대수술,산업,전문가,정부,난립,대학,프로젝트,한정,정부예산,집행,핵심,연구역량,소수,특성,대학,선별,지원,주문,해외,인재,정부,재정,지원,방식,효율화,산업,관계자,제언,대형,전자,업체,간부,미국,러시아,2차,세계,대전,독일,베를린,함락,자국,독일,핵심,두뇌,신병,확보,사활,첩보전,강국,결과,과학,토대,마련,세계,과학자,유치,지적,기초과학,중심역할,국가연구기관,인사,운영,혁신,요구,정권,지형,단기간,기관장,제도,중장기적,혁신적,기초연구,진행,비판,학계,제기"
http://www.bigkinds.or.kr/news/newsDetailView.do?newsId=01400601.20160201201036458,20130103,충청일보,꿈은 현실이 된다,"현실,초동,시작,한파,연말,마지막,잎새,즈음,새싹,무리,미소,진천군,마인드,청소년,글로벌,국제,시대,지역,인재,양성,3주일,프로그램,미국,연수,친구들,초등학교,6학년,중학생,구성,30명,1박,캠프,캠프,첫날,명심체험마을,친교,이튿날,KAIST,탐방,코스,진행,아이들,눈망울,40여,외제,학용품,친구,무렵,미국,연수,영어,구사,거리낌,아이들,교육,환경,격세지감,KAIST,탐방,동행,미국,통역,통역사,아버지,진천,출신,KAIST,명예,교수,인연,기회,아이들,흥미,인공,지능,로봇,휴보,인간,인식,공격,모습,자유자재,마디마디,손가락,기계,사람,아인슈타인,얼굴,알버트,휴보,얼굴,근육,자유,큰아들,초등학교,초등학교,과학,상상화,미래,세계,우주,공간,인간,세상,지구,컴퓨터,이용,소통,재택,근무,그림,기억,로봇,집안,청소,음료수,간식,제공,상상화,세계,현실,사실,현실,증명,그동안,KAIST,순수,1·2,인공위성,우리별,3호,인기,아이들,로봇,인공위성,문명,첨단,과학,탄성,일정,귀가,고향,교수,사인,학생들,모습,신통,요즘,연예,예술인,환상,열광,학생들,모습,싹들,세상,접근,체험,글로벌,사고,계기,현실,희망,미래,발전,원동력,교육,사실,부인,사람,중심,진천,세상,현실,미래지기들,지혜,용기,포부,선물,아이들,세상,주춧돌,새해,햇귀,김윤희,진천군의원"
http://www.bigkinds.or.kr/news/newsDetailView.do?newsId=02100601.20160124190849721,20130103,한국경제,"스타II 군단의 심장, 일반판패키지 사전판매","스타,군단,심장,일반판패,사전판매,블리자드,엔터테인먼트,Blizzard,Entertainment,www.bli,zzard.com,유통,게임,패키지,판매,파트너사,손오공,2013년,월4일일,2013년,8일,스타크래프트,시리즈,스타크래프트,스타크래,번째,확장,팩인,프트,군단,심장,StarCraft,Heart,Swarm,일반,패키지,사전,판매,시작,군단,심장,일반판,패키,인터넷,쇼핑몰,G-마켓,사전,구매,가능,3월,프라인,판매처,판매,시작,손오공,패키지,구입,유저,3월,패키지,군단,심장,일반판,패키지,권장소비자,3만,제공,버전,디지털,다운로드,동일,가격에,판매,손오공,군단,심장,사전,구매,유저,특별한,혜택,스타크래프트,스타크래프트,보틀캡피규어,3종,1종,선착순,1만,증정,군단,심장,전작,스타크래프트,자유,날개,StarCraft&re,Wings,Liberty,20개,캠페인들,소개,이야기,중심,구역,칼날,여왕,사라,케리건은코프룰루,독재자,아크튜,러스맹스크,복수,군단,군단의,심장,멀티플레이어,유닛,소개,향상,타크래프트,경험,타크래프트,기능들,제공,그룹,제공,멀티플레이어,리플레이,게임,재개,업데이트,사용자,인터페이스,접속,지역,구애,받지,게임,글로벌,플레이,박진감,넘치,전투,물리,프로필,개인,온라인,특화,레벨,레벨,신규,플레이어,캠페인,멀티플레이어,전환,훈련,모드,인공지능,대전,순위,반영,검색,친선,플레이,다수,신규,스타크래프트,신규,군단,심장,이용,버전,청소년,이용,불가,버전,출시,정보,스타크래프트,스타크래프트,공식,홈페이지,kr.battle.net,sc2,ko,확인,군단,구매,심장,소장판,정보,추후,공개,예정,박명기,pnet21,한경닷컴,게임톡,박명기,pnet21,naver.com군단의,심장,박수호,우승,포미닛,축하,정명훈,전태양,응원,하루,2승,SK텔레콤,T1,KT,코리아,Rolster,단독,1위,주부,스타크래프트2팀,명단,공개,KT,Rolster,1라운드,단독,1위,차지"
http://www.bigkinds.or.kr/news/newsDetailView.do?newsId=02100501.20160209152921045,20130104,파이낸셜뉴스,[새영화] 로봇과 노인의 우정 ‘로봇 앤 프랭크’,"로봇,노인,우정,로봇,프랭크,영화,로봇,프랭크,1920년대,사랑,로봇영화,초장기,파괴,로봇,이미지,인간,지능,마음,휴머노이드,캐릭터,변모,추세,제작,영화,로봇,프랭크,로봇,인간,교감,감동적,우정,이야기,인간,가정,로봇,보편화,미래,평화,전원생활,프랭크,전직,금고털이범,프랭크,란젤라,불청객,치매,아버지,아들,헌터,제임스,마스던,건강,보좌관,로봇,VGC-,60L,프랭크,식습관,운동습관,잔소리,하지만,겨자,시작,로봇,동거,영화,초반부,신경전,프랭크,사람,사람,로봇,기계,인간,우정,결국,우정,명목,무장,일생일대,마지막,금고털이,계획,인간,로봇,의기투합,금고털이,작전,스토리,설정,관객들,호기심,자극,로봇,프랭크,로봇,제목,결말,예측,영화,의외,프랭크,독설,로봇,응수,만담,시리얼,프랭크,시리얼,조미료,덩어리,장면,그동안,로봇영화,로봇,모습,흥분,로봇,VGC-,60L,촌철살,말솜씨,영화,소년,주목,피터,사스,특유,인공지능,로봇,감미,목소리,로봇,매력,배가,은퇴,금고털이범,프랭크,배우,생활,연기,내공,연기파,배우,프랭크,란젤라,감동,리브,타일러,수잔,서랜,제임스,마스던,막강,조연들,합류,재미,12세,관람가,관람,개봉,news100,fnnews.com,이지수,인턴,파이낸셜뉴스,모바일,패밀리,사이트,부산파이낸셜뉴스,fn아이포커스,fn아트,트위터,공식,SNS,계정,페이스북,미투데이,핫뉴스,가수,군인복무규율,위반,징계위,회부,뉴질랜드,2차,대전때,쓰나미폭탄,실험,열애,이장우,오연서,이준,입장,우결,하차,제작진,논의,여자들,럭셔리,음식,화제,WSJ,국산,국산,혁신,제품"
http://www.bigkinds.or.kr/news/newsDetailView.do?newsId=01400351.2013010410009971782,20130104,중도일보,[김석수] PC와 사무자동화,"PC,사무자동화,하루,컴퓨터,인터넷,스마트폰,시대,선택,필수,필자,이해,활용,산책,동향,주제,6회,소개,PC,사무자동화,컴퓨터,역사,1946년,미국,모클리,애커트,세계,컴퓨터,에니악,ENIAC,수식계산,용도,사용,1만,진공관,구성,무게,1세대,컴퓨터,연구소,미국,전화,진공관,트랜지스터,2세대,컴퓨터,발명,초소형,전자,회로,구성,IC,집적,회로,사용,세대,컴퓨터,탄생,1971년,LSI,밀도,집적,회로,VLSI,밀도,집적,회로,사용,세대,컴퓨터,등장,컴퓨터,인공지능,5세대,컴퓨터,사용,미국,컴퓨터,정보기기,제조업체,IBM사,PC,퍼스널,컴퓨터,역사,30년,1970년대,컴퓨터,IBM,8비트,시작,286,,펜티엄,펜티엄2,펜티엄3,펜티엄4,펜티엄D,코어2,듀오,코어2쿼드,i3,i5,i7,발전,애플,AMD,사이릭스,CPU,제조사,워크스테이션,모바일,태블릿,PC,노트북,넷북,PDA,PC,발전,CPU,중앙처리장치,OS,운영체제,발전,비례,발전,모습,사용자,요구,처리속도,응용프로그램,사용,편리,인터페이스,기기,기타,주변,호환,모니터,브라운관,LCD타입,해상도,고해상도,멀티미디어,콘텐츠,표현,부족,PC,30년,특수,특수,목적,사용,요즘,생활필수품,PC,이용한,인터넷,사용,각종,문서,워드,작업,학교,회사,각종,업무,PC,가능,가격,대중화,영상,멀티미디어,콘텐츠,응용,프로그램,고성능,CPU,사용자,요구,정확,편리,충족,30년,요즘,업무,환경,차이점,사무자동화,OA,PC,활용,업무,효율화,질적,향상,정보처리기술,정보통신기술,사무기기,한데,사무실,업무처리,종합적,수행,향상,업무,생산,효과,정보관리,가능,중반,우리나라,사무자동화,확산,사무실,업무,자동화,일반,기업,사무처리,전기,가스,전화,요금,계산,철도,좌석,예약,승차권,발매,은행고객계좌,잔고,이자계산,컴퓨터,처리시스템,이용한,데이터,처리,처리,사무자동화,사용,기기,개인,컴퓨터,오피스,컴퓨터,워드프로세서,팩시밀리,복사기,단말기,기계,급증,통신회선,연결,네트워크화,급진전,사무자동화,응용,프로그램,MS,오피스툴,워드,파워포인트,엑셀,엑세스,익스플로어,회사,응용,프로그램,사무자동화,질적,향상"
