ID,Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
2470,43,18,89,92780,1,0.1,2,307,0,0,0,0,1
968,55,30,73,92675,4,3.8,2,0,0,0,0,1,0
729,45,20,114,94720,2,4.4,2,0,1,0,0,0,0
327,52,27,80,95616,1,1.3,3,0,0,0,1,1,1
679,52,27,61,92101,4,1.8,3,207,0,0,0,0,0
1197,37,13,71,94609,2,2.7,1,94,0,0,0,1,0
1396,47,23,190,92831,4,0.3,3,305,1,0,0,0,0
1288,42,18,54,94010,4,2.2,2,0,0,0,0,0,0
2276,40,16,115,94305,1,3.4,1,0,0,0,0,1,0
513,39,14,54,95035,3,3,1,108,0,0,0,0,1
840,39,15,79,92646,4,2.4,1,0,0,0,0,0,0
1650,29,4,73,95039,1,0.8,2,0,0,0,0,1,0
197,48,24,165,93407,1,5,1,0,0,0,0,0,1
2,45,19,34,90089,3,1.5,1,0,0,1,0,0,0
31,59,35,35,93106,1,1.2,3,122,0,0,0,1,0
2197,51,24,189,95211,4,4.75,2,0,1,0,0,1,0
682,34,9,164,94720,1,6,3,0,1,0,0,1,0
2379,30,5,61,95605,1,0.8,2,251,0,1,1,1,0
490,53,28,43,91380,2,2.1,3,0,0,0,1,1,1
463,29,4,183,91423,3,8.3,3,0,1,0,0,1,0
2448,44,19,201,95819,2,8.8,1,0,0,0,0,1,1
1266,32,2,71,95014,2,1.75,3,108,0,0,0,0,0
410,49,22,82,90019,1,2.67,2,125,0,0,0,1,0
142,35,11,58,95831,3,2,1,149,0,0,0,1,1
944,30,4,80,94701,4,1.8,2,0,0,0,0,0,0
688,48,22,65,92120,2,1.5,2,0,0,0,0,1,0
974,43,18,85,92703,1,4,3,287,0,0,0,1,0
2421,63,39,40,91304,1,0.8,1,118,0,0,0,0,1
1676,60,35,119,90266,2,3.9,1,0,0,1,0,1,0
126,60,35,80,91301,3,0.5,1,0,0,0,0,1,0
786,46,22,164,94122,2,7.6,1,0,0,0,1,1,1
304,49,25,195,95605,4,3,1,617,1,0,0,0,0
815,33,8,45,93943,2,0.1,1,0,0,0,0,0,1
541,25,-1,109,94010,4,2.3,3,314,0,0,0,1,0
236,38,8,71,94720,4,1.8,3,0,0,0,0,1,0
23,29,5,62,90277,1,1.2,1,260,0,0,0,1,0
2124,28,2,9,95014,1,0.1,2,0,0,0,0,1,0
1094,27,3,40,94550,3,0.1,2,111,0,0,0,1,0
634,61,31,18,94583,1,1.5,3,0,0,0,0,1,1
2341,33,9,44,94112,1,1.2,1,0,0,0,0,0,0
1492,38,12,38,94553,2,0.3,1,0,0,0,0,1,1
43,32,7,132,90019,4,1.1,2,412,1,0,0,1,0
2173,39,15,79,92028,2,1.8,2,219,0,0,0,0,0
2121,41,17,44,93106,1,0.3,3,0,0,0,0,1,0
2107,62,38,132,90210,1,2.9,1,0,0,0,0,0,0
2154,40,14,123,90041,1,5.2,1,0,0,0,0,1,0
1925,62,38,78,92009,1,1.8,3,0,0,0,0,0,0
730,58,28,90,93106,1,3,3,0,0,0,0,0,1
1429,25,-1,21,94583,4,0.4,1,90,0,0,0,1,0
869,40,15,161,94596,2,3.3,1,0,0,1,0,0,1
1253,42,17,93,92182,4,1.9,3,0,0,0,0,0,0
1264,35,5,85,92870,4,4,3,0,0,0,0,1,0
1626,56,30,21,94542,2,0.7,2,0,0,0,0,1,0
22,57,27,63,90095,3,2,3,0,0,0,0,1,0
2213,46,22,83,95060,1,2.7,1,0,0,0,0,1,0
1598,66,41,11,92325,3,0.1,3,0,0,1,0,0,1
196,34,10,13,94577,4,1,1,95,0,1,0,1,0
1195,29,3,41,94305,4,1.3,3,0,0,0,0,1,0
2267,38,13,143,94550,1,4.1,1,0,0,0,0,0,0
1390,45,15,20,94107,1,0.75,3,0,0,0,0,1,0
58,56,31,131,95616,2,1.2,3,0,1,0,0,0,0
98,54,28,161,92121,1,2.9,1,0,0,0,0,1,0
936,46,20,131,95929,1,5.7,1,256,0,0,0,0,1
2222,59,33,73,92056,2,1.7,3,0,0,0,0,1,1
635,57,31,32,90034,3,1.4,1,0,0,1,1,1,1
1668,44,20,22,90024,1,1,1,91,0,0,0,0,0
1923,39,15,25,93023,1,1.4,3,0,0,0,0,0,0
1562,46,20,73,93106,1,1.5,2,128,0,0,0,1,0
1841,55,25,23,93106,4,0.4,3,88,0,0,0,0,0
